Образовательная программа	Количество мест	Дата обновления	№ п/п	Уникальный идентификатор абитуриента	Право поступления без вступительных испытаний	Основание БВИ	Приоритет зачисления	Наличие согласия на зачисление	ВИ 1	ВИ 2	ВИ 3	Сумма баллов за вступительные испытания	Сумма баллов по индивидуальным достижениям	Сумма конкурсных баллов	Все оценки положительные	Статус заявления	Преимущественное право п.9	Преимущественное право п.10	Требуется общежитие на время обучения	Возврат документов
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	147	1649266	-		1	-	100	95	94	289	7	296	Да	Участвует в конкурсе	-	-	Да	-
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	148	1612531	-		3	-	100	95	91	286	10	296	Да	Участвует в конкурсе	-	-	-	-
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	149	1357616	-		2	-	100	95	91	286	10	296	Да	Участвует в конкурсе	-	-	Да	-
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	150	1357616	-		2	-	-	-	-	286	10	296	Да	Отозвано поступающим	-	-	Да	Да
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	151	1915374	Да	Диплом олимпиады	5	-	94	78	86	258	9	267	Да	Участвует в конкурсе	-	-	Да	-
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	152	1521429	Да	Диплом олимпиады	4	-	96	98	100	294	10	304	Да	Участвует в конкурсе	-	-	Да	-
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	153	1599013	Да	Диплом олимпиады	1	-	72	90	78	240	7	247	Да	Участвует в конкурсе	-	-	Да	-
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	154	1250773	Да	Диплом олимпиады	1	Да	100	93	91	284	3	287	Да	Участвует в конкурсе	-	-	-	-
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	155	2025450	Да	Диплом олимпиады	1	-	100	62	72	234	3	237	Да	Участвует в конкурсе	-	-	Да	-
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	156	1323902	Да	Диплом олимпиады	1	Да	97	88	94	279	5	284	Да	Участвует в конкурсе	-	-	Да	-
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	157	1949248	Да	Диплом олимпиады	1	Да	100	83	72	255	5	260	Да	Участвует в конкурсе	-	-	Да	-
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	158	1618150	-		2	-	100	100	94	294	10	304	Да	Участвует в конкурсе	-	-	-	-
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	159	1854838	-		4	-	100	100	94	294	10	304	Да	Участвует в конкурсе	-	-	Да	-
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	160	2001539	-		4	-	100	100	94	294	10	304	Да	Участвует в конкурсе	-	-	Да	-
