Категория	Место	Код	Приоритет	Вид испытания	Математика	Информатика	Русский язык	ИД	Балл ВИ	Балл ВИ+ИД	Преимущественное право	Основной высший приоритет	Высший проходной приоритет	Согласие	Олимпиада
Общий конкурс	208	1205717	3	ВИ	100	95	96	10	291	301	нет	нет	нет	да	
Общий конкурс	209	1776866	3	ЕГЭ	99	100	97	5	296	301	нет	нет	нет	нет	
Общий конкурс	210	1363200	4	ЕГЭ	99	98	94	10	291	301	нет	нет	нет	нет	
Общий конкурс	211	1131578	3	ВИ	100	100	100	0	300	300	да	нет	нет	да	
Общий конкурс	212	1905656	2	ВИ	100	100	97	3	297	300	нет	нет	нет	да	
Общий конкурс	213	1575137	4	ЕГЭ	100	98	97	5	295	300	нет	нет	нет	нет	
Общий конкурс	214	1763345	2	ВИ	100	95	100	5	295	300	нет	да	нет	нет	
Общий конкурс	215	1907735	4	ВИ	100	90	100	10	290	300	нет	да	нет	нет	
Общий конкурс	216	1728027	2	ЕГЭ	99	100	91	10	290	300	нет	нет	нет	нет	
Общий конкурс	217	1413259	5	ЕГЭ	98	100	97	5	295	300	нет	нет	нет	нет	
Общий конкурс	218	1649098	4	ВИ	98	100	97	5	295	300	нет	нет	нет	да	
Общий конкурс	219	1206004	5	ЕГЭ	98	98	94	10	290	300	нет	нет	нет	нет	
Общий конкурс	220	1760858	3	ВИ	97	93	100	10	290	300	нет	нет	нет	нет	
Общий конкурс	221	1267994	5	ЕГЭ	94	100	100	5	294	299	да	нет	нет	нет	
Общий конкурс	222	1698180	4	ВИ	100	100	89	10	289	299	нет	нет	нет	да	
Общий конкурс	223	1702887	3	ЕГЭ	100	100	89	10	289	299	нет	нет	нет	да	
Общий конкурс	224	1203344	4	ЕГЭ	100	98	94	7	292	299	нет	нет	нет	да	
Общий конкурс	225	1426139	5	ВИ	100	95	94	10	289	299	нет	нет	нет	да	
Общий конкурс	226	1897125	4	ЕГЭ	99	100	91	9	290	299	нет	нет	нет	да	
Общий конкурс	227	1586111	5	ЕГЭ	99	98	97	5	294	299	нет	нет	нет	нет	
Общий конкурс	228	994286	4	ВИ	100	98	97	3	295	298	да	нет	нет	да	
Общий конкурс	229	1437462	4	ВИ			100	3	295	298	нет	нет	нет	нет	
Общий конкурс	230	1482996	3	ЕГЭ	94	100	94	10	288	298	нет	да	нет	нет	
Общий конкурс	231	1812419	5	ЕГЭ	100	100	94	3	294	297	да	нет	нет	нет	
Общий конкурс	232	1209561	3	ЕГЭ	98	100	94	5	292	297	да	нет	нет	нет	
Общий конкурс	233	1423265	5	ВИ	100	100	94	3	294	297	нет	нет	нет	да	
Общий конкурс	234	1807618	2	ВИ	100	100	97	0	297	297	нет	нет	нет	да	
Общий конкурс	235	1004310	2	ЕГЭ	100	98	94	5	292	297	нет	да	нет	нет	
Общий конкурс	236	1787866	5	ЕГЭ	100	98	94	5	292	297	нет	нет	нет	нет	
Общий конкурс	237	1177363	2	ВИ	100	98	94	5	292	297	нет	да	нет	нет	
Общий конкурс	238	1207871	4	ЕГЭ	100	93	94	10	287	297	нет	нет	нет	нет	
Общий конкурс	239	1955895	3	ЕГЭ	100	90	97	10	287	297	нет	нет	нет	нет	
Общий конкурс	240	1485338	3	ЕГЭ	97	100	97	3	294	297	нет	да	нет	нет	
Общий конкурс	241	1384970	3	ЕГЭ	97	93	97	10	287	297	нет	нет	нет	нет	
Общий конкурс	242	1289523	2	ВИ	94	100	100	3	294	297	нет	да	нет	нет	
Общий конкурс	243	1407670	2	ВИ	95	100	94	7	289	296	да	нет	нет	нет	
Общий конкурс	244	1796908	4	ЕГЭ	100	100	89	7	289	296	нет	нет	нет	да	
Общий конкурс	245	1612531	5	ВИ	100	95	91	10	286	296	нет	нет	нет	да	
Общий конкурс	246	1655702	4	ВИ	100	95	91	10	286	296	нет	да	нет	нет	
Общий конкурс	247	1355358	3	ЕГЭ	100	93	94	9	287	296	нет	да	нет	нет	
Общий конкурс	248	1585524	3	ВИ	99	100	94	3	293	296	нет	нет	нет	нет	
Общий конкурс	249	1443240	5	ЕГЭ	99	100	94	3	293	296	нет	нет	нет	нет	
Общий конкурс	250	1291412	4	ЕГЭ	97	100	89	10	286	296	нет	нет	нет	да	
Общий конкурс	251	1824749	2	ЕГЭ	97	98	94	7	289	296	нет	нет	нет	нет	
Общий конкурс	252	1707727	4	ВИ	96	100	100	0	296	296	нет	нет	нет	нет	
Общий конкурс	253	1566101	2	ЕГЭ	96	95	100	5	291	296	нет	нет	нет	нет	
Общий конкурс	254	1643999	4	ВИ	96	93	100	7	289	296	нет	нет	нет	нет	
Общий конкурс	255	1985128	5	ЕГЭ	94	100	97	5	291	296	нет	нет	нет	нет	
Общий конкурс	256	1195957	3	ВИ	92	100	94	10	286	296	нет	нет	нет	да	
Общий конкурс	257	1649266	5	ВИ	100	95	94	6	289	295	да	нет	нет	да	
Общий конкурс	258	1348718	5	ЕГЭ	100	98	91	6	289	295	нет	нет	нет	нет	
Общий конкурс	259	1128387	5	ВИ	100	98	91	6	289	295	нет	нет	нет	нет	
Общий конкурс	260	1993093	3	ЕГЭ	100	98	94	3	292	295	нет	нет	нет	да	
Общий конкурс	261	1428919	2	ЕГЭ	100	98	94	3	292	295	нет	нет	нет	нет	
Общий конкурс	262	1288373	2	ЕГЭ	100	95	100	0	295	295	нет	нет	нет	нет	
Общий конкурс	263	1286565	2	ЕГЭ	98	100	97	0	295	295	нет	нет	нет	нет	
Общий конкурс	264	1451262	2	ЕГЭ	97	98	97	3	292	295	нет	нет	нет	нет	
Общий конкурс	265	1437520	4	ЕГЭ	97	98	97	3	292	295	нет	нет	нет	нет	
Общий конкурс	266	1992774	4	ЕГЭ	97	98	97	3	292	295	нет	нет	нет	нет	
Общий конкурс	267	1823596	5	ВИ	92	98	100	5	290	295	нет	нет	нет	нет	
Общий конкурс	268	1343899	5	ЕГЭ	100	100	91	3	291	294	нет	нет	нет	нет	
Общий конкурс	269	1647738	2	ВИ	100	100	91	3	291	294	нет	нет	нет	да	
Общий конкурс	270	1364536	5	ЕГЭ	100	95	89	10	284	294	нет	нет	нет	да	
Общий конкурс	271	1420835	3	ВИ	100	93	91	10	284	294	нет	нет	нет	нет	
Общий конкурс	272	1944302	4	ВИ	100	90	94	10	284	294	нет	нет	нет	нет	
Общий конкурс	273	2024799	3	ЕГЭ	99	95	97	3	291	294	нет	нет	нет	нет	
Общий конкурс	274	1727671	4	ВИ	99	90	100	5	289	294	нет	нет	нет	нет	
Общий конкурс	275	1582873	4	ЕГЭ	98	93	100	3	291	294	нет	нет	нет	нет	
Общий конкурс	276	2052557	4	ЕГЭ	97	98	97	2	292	294	нет	нет	нет	нет	
Общий конкурс	277	1401780	5	ЕГЭ	96	98	97	3	291	294	нет	нет	нет	нет	
Общий конкурс	278	1176308	3	ЕГЭ	96	95	100	3	291	294	нет	нет	нет	нет	
Общий конкурс	279	1645273	3	ЕГЭ	95	95	94	10	284	294	нет	нет	нет	нет	
Общий конкурс	280	1463302	5	ЕГЭ	90	100	94	10	284	294	нет	нет	нет	да	
Общий конкурс	281	1594248	3	ВИ	100	100	83	10	283	293	нет	нет	нет	нет	
Общий конкурс	282	1651429	5	ВИ	100	90	100	3	290	293	нет	нет	нет	нет	
Общий конкурс	283	1624734	2	ЕГЭ	100	90	100	3	290	293	нет	нет	нет	нет	
Общий конкурс	284	1202951	4	ЕГЭ	98	98	94	3	290	293	нет	нет	нет	нет	
Общий конкурс	285	1816707	5	ЕГЭ	98	98	94	3	290	293	нет	нет	нет	нет	
Общий конкурс	286	1850300	3	ЕГЭ	97	100	89	7	286	293	нет	нет	нет	нет	
Общий конкурс	287	1323228	5	ВИ	97	100	89	7	286	293	нет	нет	нет	да	
